Lat,Lon,Adjusted Rad
40.78473,-98.72415,This time is unavaliable
40.78465,-98.72429,This time is unavaliable
40.78445,-98.72461,This time is unavaliable
40.78428,-98.72486,This time is unavaliable
40.78407,-98.72514,This time is unavaliable
40.78385,-98.72543,This time is unavaliable
40.78382,-98.72547,This time is unavaliable
40.78362,-98.72573,This time is unavaliable
40.78339,-98.72603,This time is unavaliable
40.78311,-98.7264,This time is unavaliable
40.78299,-98.72657,This time is unavaliable
40.78289,-98.72674,This time is unavaliable
40.78275,-98.72697,This time is unavaliable
40.78264,-98.72717,This time is unavaliable
40.78254,-98.72738,This time is unavaliable
40.78247,-98.72752,This time is unavaliable
40.78243,-98.72761,This time is unavaliable
40.7824,-98.72769,This time is unavaliable
40.78234,-98.72783,This time is unavaliable
40.78228,-98.728,This time is unavaliable
40.78223,-98.72814,This time is unavaliable
40.78218,-98.7283,This time is unavaliable
40.7821,-98.72858,This time is unavaliable
40.78203,-98.72882,This time is unavaliable
40.78195,-98.72909,This time is unavaliable
40.78174,-98.72988,This time is unavaliable
40.78171,-98.73001,This time is unavaliable
40.78159,-98.7304,This time is unavaliable
40.78137,-98.7312,This time is unavaliable
40.7813,-98.73142,This time is unavaliable
40.78124,-98.73164,This time is unavaliable
40.78095,-98.73261,This time is unavaliable
40.78058,-98.73397,This time is unavaliable
40.78041,-98.73476,This time is unavaliable
40.78025,-98.73537,This time is unavaliable
40.77967,-98.73738,This time is unavaliable
40.77966,-98.73741,This time is unavaliable
40.77954,-98.73782,This time is unavaliable
40.77951,-98.73799,This time is unavaliable
40.77929,-98.73873,This time is unavaliable
40.77904,-98.73952,This time is unavaliable
40.77902,-98.73959,This time is unavaliable
40.77881,-98.74033,This time is unavaliable
40.77865,-98.74087,This time is unavaliable
40.77859,-98.74112,This time is unavaliable
40.77844,-98.74166,This time is unavaliable
40.77824,-98.74238,This time is unavaliable
40.7781,-98.74287,This time is unavaliable
40.77802,-98.74313,This time is unavaliable
40.77798,-98.74323,This time is unavaliable
40.77751,-98.7449,This time is unavaliable
40.77685,-98.74731,This time is unavaliable
40.77665,-98.74802,This time is unavaliable
40.77523,-98.75316,462.49830601711926
40.77514,-98.75349,462.50450327458066
40.77457,-98.75559,462.51954364523436
40.77426,-98.75667,462.5083598714335
40.77411,-98.75719,462.5339115192803
40.77361,-98.75906,This time is unavaliable
40.77337,-98.75994,This time is unavaliable
40.77289,-98.7617,This time is unavaliable
40.77136,-98.76728,This time is unavaliable
40.77032,-98.77108,This time is unavaliable
40.76971,-98.77331,This time is unavaliable
40.76965,-98.77354,This time is unavaliable
40.76933,-98.7747,This time is unavaliable
40.7688,-98.77662,This time is unavaliable
40.76818,-98.77893,This time is unavaliable
40.76731,-98.78207,462.7621865207485
40.76557,-98.78843,462.83460116676815
40.76457,-98.79208,462.85731600624297
40.76433,-98.79293,462.8951915699978
40.76416,-98.79356,462.89474742549675
40.76395,-98.79435,462.8904882424439
40.76371,-98.79523,462.9642772078327
40.76293,-98.79807,462.9808192566891
40.76179,-98.80223,463.0293149509835
